Call,entry Price,target Price,stop Loss,isCall,Date
SELL NOW,20040,20098,20125,false,Thu Sep 14 2023 13:04:20 GMT+0530 (India Standard Time)
SELL NOW,20145,20106,20185,false,Fri Sep 15 2023 13:04:20 GMT+0530 (India Standard Time)
SELL NOW,19970,19932,20005,false,Wed Sep 20 2023 13:04:20 GMT+0530 (India Standard Time)
SELL IF NIFTY AT,19881,19857,19818,false,Thu Sep 21 2023 10:10:09 GMT+0530 (India Standard Time)
SELL IF NIFTY AT,19739,19715,19780,false,Thu Sep 21 2023 10:17:04 GMT+0530 (India Standard Time)
BUY NOW,19750,19780,19720,true,Thu Sep 21 2023 12:41:46 GMT+0530 (India Standard Time)
SELL NOW,19725,19680,19765,false,Fri Sep 22 2023 09:33:33 GMT+0530 (India Standard Time)
SELL IF NIFTY AT,19670,19642,19699,false,Fri Sep 22 2023 10:19:38 GMT+0530 (India Standard Time)
BUY NOW,19775,19815,19732,true,Fri Sep 22 2023 12:00:38 GMT+0530 (India Standard Time)
SELL NOW,19626,19585,19675,false,Mon Sep 25 2023 10:18:30 GMT+0530 (India Standard Time)
BUY IF NIFTY AT,19745,19790,19670,true,Mon Sep 25 2023 12:55:58 GMT+0530 (India Standard Time)
SELL IF NIFTY AT,19630,19602,19662,false,Tue Sep 26 2023 12:58:33 GMT+0530 (India Standard Time)
SELL NOW,19562,19530,19598,false,Wed Sep 27 2023 10:25:53 GMT+0530 (India Standard Time)
BUY NOW,19652,19677,19620,true,Wed Sep 27 2023 11:37:15 GMT+0530 (India Standard Time)
BUY NOW,10000,10000,10000,true,Wed Sep 27 2023 14:05:01 GMT+0530 (India Standard Time)
SELL IF NIFTY AT,19704,19676,19738,false,Thu Sep 28 2023 09:35:59 GMT+0530 (India Standard Time)
SELL IF NIFTY AT,19666,19642,19737,false,Thu Sep 28 2023 09:56:09 GMT+0530 (India Standard Time)
SELL IF NIFTY AT,19670,19648,19700,false,Thu Sep 28 2023 10:57:16 GMT+0530 (India Standard Time)
